,property_type,building_name,address,access_1,access_2,access_3,age,building_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,posting_date
1007,賃貸マンション,サンハイツ田中,愛知県名古屋市瑞穂区中山町１,地下鉄桜通線/桜山駅 歩4分,地下鉄桜通線/瑞穂区役所駅 歩12分,地下鉄鶴舞線/御器所駅 歩18分,築37年,4階建,4階,3.7万円,-,-,-,1K,20.44m2,https://suumo.jp/chintai/jnc_000076951961/?bc=100187890776,2024-02-19
1008,賃貸マンション,地下鉄桜通線 桜山駅 4階建 築37年,愛知県名古屋市瑞穂区川澄町３,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩11分,地下鉄桜通線/瑞穂運動場西駅 歩20分,築37年,4階建,3階,3.2万円,3000円,-,-,1K,22.32m2,https://suumo.jp/chintai/jnc_000087992022/?bc=100363518377,2024-02-19
1009,賃貸マンション,Ciｔｙ　Pal　Sakurayama,愛知県名古屋市昭和区桜山町３,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/御器所駅 歩11分,地下鉄鶴舞線/荒畑駅 歩15分,築18年,5階建,1階,13万円,2000円,-,-,2LDK,69.12m2,https://suumo.jp/chintai/jnc_000067240353/?bc=100352942196,2024-02-19
1010,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築13年,愛知県名古屋市昭和区丸屋町６,地下鉄桜通線/桜山駅 歩8分,地下鉄桜通線/御器所駅 歩12分,地下鉄鶴舞線/荒畑駅 歩17分,築13年,2階建,2階,7.8万円,-,7.8万円,7.8万円,ワンルーム,49.51m2,https://suumo.jp/chintai/jnc_000088088769/?bc=100356582904,2024-02-19
1011,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築13年,愛知県名古屋市昭和区丸屋町６,地下鉄桜通線/桜山駅 歩8分,地下鉄桜通線/御器所駅 歩12分,地下鉄鶴舞線/荒畑駅 歩17分,築13年,2階建,1階,7.8万円,-,7.8万円,7.8万円,1DK,35.87m2,https://suumo.jp/chintai/jnc_000088088768/?bc=100359402910,2024-02-19
1012,賃貸アパート,地下鉄桜通線 瑞穂区役所駅 2階建 築6年,愛知県名古屋市瑞穂区北原町２,地下鉄桜通線/瑞穂区役所駅 歩4分,地下鉄桜通線/瑞穂運動場西駅 歩10分,地下鉄桜通線/桜山駅 歩13分,築6年,2階建,1階,5.5万円,4000円,-,5.5万円,ワンルーム,20.11m2,https://suumo.jp/chintai/jnc_000073942609/?bc=100282435295,2024-02-19
1013,賃貸マンション,プチメゾン桜山II,愛知県名古屋市昭和区下構町１,地下鉄桜通線/桜山駅 歩7分,地下鉄鶴舞線/御器所駅 歩13分,地下鉄桜通線/瑞穂区役所駅 歩17分,築18年,3階建,2階,5万円,3000円,-,-,1K,24.51m2,https://suumo.jp/chintai/jnc_000085318849/?bc=100364306071,2024-02-19
1014,賃貸マンション,プチメゾン桜山II,愛知県名古屋市昭和区下構町１,地下鉄桜通線/桜山駅 歩7分,地下鉄鶴舞線/御器所駅 歩13分,地下鉄桜通線/瑞穂区役所駅 歩17分,築18年,3階建,3階,5万円,3000円,-,-,1K,24.21m2,https://suumo.jp/chintai/jnc_000088079349/?bc=100362159716,2024-02-19
1015,賃貸マンション,プチメゾン桜山II,愛知県名古屋市昭和区下構町１,地下鉄桜通線/桜山駅 歩7分,地下鉄鶴舞線/御器所駅 歩13分,地下鉄桜通線/瑞穂区役所駅 歩17分,築18年,3階建,3階,5.2万円,3000円,-,-,1K,24.21m2,https://suumo.jp/chintai/jnc_000065277479/?bc=100361853267,2024-02-19
1016,賃貸マンション,地下鉄桜通線 桜山駅 4階建 築40年,愛知県名古屋市瑞穂区高田町２,地下鉄桜通線/桜山駅 歩7分,地下鉄桜通線/瑞穂区役所駅 歩7分,地下鉄桜通線/瑞穂運動場西駅 歩16分,築40年,4階建,3階,3.9万円,3000円,7.8万円,-,1K,20.79m2,https://suumo.jp/chintai/jnc_000048543262/?bc=100259882350,2024-02-19
1017,賃貸マンション,地下鉄桜通線 桜山駅 4階建 築40年,愛知県名古屋市瑞穂区高田町２,地下鉄桜通線/桜山駅 歩7分,地下鉄桜通線/瑞穂区役所駅 歩7分,地下鉄桜通線/瑞穂運動場西駅 歩16分,築40年,4階建,4階,3.9万円,3000円,7.8万円,-,1K,20.79m2,https://suumo.jp/chintai/jnc_000023101121/?bc=100259882401,2024-02-19
1018,賃貸マンション,パールナッツ,愛知県名古屋市瑞穂区駒場町４,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩8分,地下鉄鶴舞線/御器所駅 歩18分,築31年,7階建,5階,3.6万円,5000円,-,-,ワンルーム,24.84m2,https://suumo.jp/chintai/jnc_000084047511/?bc=100364744238,2024-02-19
1019,賃貸マンション,ラフォ－レ桜山,愛知県名古屋市瑞穂区中山町４,地下鉄桜通線/桜山駅 歩8分,地下鉄桜通線/瑞穂区役所駅 歩13分,地下鉄鶴舞線/荒畑駅 歩20分,築35年,3階建,3階,3.3万円,2000円,-,-,1K,17m2,https://suumo.jp/chintai/jnc_000026933586/?bc=100256131366,2024-02-19
1020,賃貸マンション,地下鉄桜通線 桜山駅 12階建 築35年,愛知県名古屋市昭和区滝子町,地下鉄桜通線/桜山駅 歩11分,地下鉄桜通線/御器所駅 歩18分,地下鉄鶴舞線/荒畑駅 歩15分,築35年,12階建,3階,6.8万円,6000円,13.6万円,-,2LDK,54m2,https://suumo.jp/chintai/jnc_000076458231/?bc=100360956860,2024-02-19
1021,賃貸マンション,地下鉄桜通線 桜山駅 12階建 築35年,愛知県名古屋市昭和区滝子町,地下鉄桜通線/桜山駅 歩11分,地下鉄桜通線/御器所駅 歩18分,地下鉄鶴舞線/荒畑駅 歩15分,築35年,12階建,12階,7.1万円,6000円,14.2万円,-,2LDK,54m2,https://suumo.jp/chintai/jnc_000087792481/?bc=100363834902,2024-02-19
1022,賃貸マンション,地下鉄桜通線 桜山駅 12階建 築35年,愛知県名古屋市昭和区滝子町,地下鉄桜通線/桜山駅 歩11分,地下鉄桜通線/御器所駅 歩18分,地下鉄鶴舞線/荒畑駅 歩15分,築35年,12階建,10階,8万円,6000円,16万円,-,2LDK,54m2,https://suumo.jp/chintai/jnc_000080301182/?bc=100320932955,2024-02-19
1023,賃貸一戸建て,亀城町戸建,愛知県名古屋市瑞穂区亀城町６,地下鉄桜通線/桜山駅 歩12分,地下鉄桜通線/瑞穂区役所駅 歩15分,,築61年,平屋,1階,6.7万円,-,6.7万円,6.7万円,2LDK,83m2,https://suumo.jp/chintai/jnc_000087417791/?bc=100359738739,2024-02-19
1024,賃貸アパート,地下鉄桜通線 桜山駅 2階建 築8年,愛知県名古屋市昭和区滝子通４,地下鉄桜通線/桜山駅 歩9分,地下鉄鶴舞線/荒畑駅 歩141分,地下鉄桜通線/瑞穂区役所駅 歩17分,築8年,2階建,2階,5.55万円,4000円,-,5.55万円,1K,20.87m2,https://suumo.jp/chintai/jnc_000088338582/?bc=100365402434,2024-02-19
1025,賃貸マンション,第１ハイコ－プ田中,愛知県名古屋市瑞穂区駒場町３,地下鉄桜通線/桜山駅 歩4分,地下鉄桜通線/瑞穂区役所駅 歩11分,地下鉄鶴舞線/御器所駅 歩19分,築38年,3階建,3階,3.5万円,-,-,-,1K,20.4m2,https://suumo.jp/chintai/jnc_000081990105/?bc=100325494110,2024-02-19
1026,賃貸マンション,地下鉄桜通線 桜山駅 3階建 築22年,愛知県名古屋市昭和区藤成通１,地下鉄桜通線/桜山駅 歩5分,地下鉄鶴舞線/御器所駅 歩15分,地下鉄桜通線/瑞穂区役所駅 歩17分,築22年,3階建,2階,5.6万円,4000円,5.6万円,-,1K,31.98m2,https://suumo.jp/chintai/jnc_000088588424/?bc=100360562530,2024-02-19
1027,賃貸一戸建て,フルール・ド・リス本願寺,愛知県名古屋市瑞穂区本願寺町２,地下鉄桜通線/瑞穂区役所駅 歩7分,地下鉄桜通線/瑞穂運動場西駅 歩9分,地下鉄桜通線/桜山駅 歩16分,築17年,3階建,1階,14.5万円,5000円,43.5万円,-,4LDK,153.18m2,https://suumo.jp/chintai/jnc_000088473099/?bc=100366317586,2024-02-19
1028,賃貸一戸建て,フルール・ド・リス本願寺,愛知県名古屋市瑞穂区本願寺町２,地下鉄桜通線/瑞穂区役所駅 歩7分,地下鉄桜通線/瑞穂運動場西駅 歩9分,地下鉄桜通線/桜山駅 歩16分,築17年,3階建,1階,14.5万円,5000円,43.5万円,-,4LDK,153.18m2,https://suumo.jp/chintai/jnc_000088459398/?bc=100366235191,2024-02-19
1029,賃貸アパート,コーポラス曙,愛知県名古屋市瑞穂区高田町１,地下鉄桜通線/桜山駅 歩9分,地下鉄桜通線/瑞穂区役所駅 歩12分,地下鉄桜通線/瑞穂運動場西駅 歩20分,築54年,2階建,1階,3.9万円,2000円,7.8万円,7.8万円,2DK,22.68m2,https://suumo.jp/chintai/jnc_000088054074/?bc=100293862379,2024-02-19
1030,賃貸マンション,プレスイン駒場,愛知県名古屋市瑞穂区駒場町３,地下鉄桜通線/桜山駅 歩3分,,,築34年,4階建,3階,3.5万円,3000円,-,-,ワンルーム,19.69m2,https://suumo.jp/chintai/jnc_000033552009/?bc=100331636444,2024-02-19
1031,賃貸マンション,プレスイン駒場,愛知県名古屋市瑞穂区駒場町３,地下鉄桜通線/桜山駅 歩3分,,,築34年,4階建,3階,3.5万円,3000円,-,-,ワンルーム,19.69m2,https://suumo.jp/chintai/jnc_000029804135/?bc=100234697953,2024-02-19
1032,賃貸マンション,地下鉄桜通線 桜山駅 4階建 築34年,愛知県名古屋市瑞穂区駒場町３,地下鉄桜通線/桜山駅 歩4分,地下鉄桜通線/瑞穂区役所駅 歩13分,地下鉄鶴舞線/御器所駅 歩20分,築34年,4階建,3階,3.5万円,3000円,-,-,ワンルーム,19.69m2,https://suumo.jp/chintai/jnc_000064755560/?bc=100230699220,2024-02-19
1033,賃貸マンション,ハーツウェーブ,愛知県名古屋市昭和区広見町５,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩17分,築18年,8階建,4階,7.5万円,8000円,-,7.5万円,1K,42.24m2,https://suumo.jp/chintai/jnc_000080265114/?bc=100315811235,2024-02-19
1034,賃貸マンション,ハーツウェーブ,愛知県名古屋市昭和区広見町５,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩17分,築18年,8階建,2階,7.5万円,8000円,-,7.5万円,1K,42.24m2,https://suumo.jp/chintai/jnc_000080265112/?bc=100315811224,2024-02-19
1035,賃貸マンション,ハーツウェーブ,愛知県名古屋市昭和区広見町５,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩17分,築18年,8階建,5階,7.5万円,8000円,-,7.5万円,1K,42.24m2,https://suumo.jp/chintai/jnc_000072266796/?bc=100315811238,2024-02-19
1036,賃貸マンション,ハーツウェーブ,愛知県名古屋市昭和区広見町５,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩17分,築18年,8階建,2階,8.5万円,8000円,-,8.5万円,1K,52.28m2,https://suumo.jp/chintai/jnc_000080265111/?bc=100315811242,2024-02-19
1037,賃貸マンション,ハーツウェーブ,愛知県名古屋市昭和区広見町５,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩17分,築18年,8階建,3階,8.5万円,8000円,-,8.5万円,1K,52.28m2,https://suumo.jp/chintai/jnc_000080265113/?bc=100315811213,2024-02-19
1038,賃貸マンション,ハーツウェーブ,愛知県名古屋市昭和区広見町５,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩17分,築18年,8階建,5階,8.5万円,8000円,-,8.5万円,ワンルーム,52.28m2,https://suumo.jp/chintai/jnc_000084345967/?bc=100339989346,2024-02-19
1039,賃貸マンション,ハーツウェーブ,愛知県名古屋市昭和区広見町５,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩17分,築18年,8階建,7階,9.5万円,8000円,-,9.5万円,1K,52.28m2,https://suumo.jp/chintai/jnc_000086377490/?bc=100353044987,2024-02-19
1040,賃貸マンション,ハーツウェーブ,愛知県名古屋市昭和区広見町５,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/瑞穂区役所駅 歩15分,地下鉄鶴舞線/御器所駅 歩17分,築18年,8階建,8階,9.5万円,8000円,-,9.5万円,ワンルーム,48.67m2,https://suumo.jp/chintai/jnc_000086377491/?bc=100353044967,2024-02-19
1041,賃貸マンション,ジュネス瑞穂,愛知県名古屋市瑞穂区東栄町１,地下鉄桜通線/桜山駅 歩6分,地下鉄桜通線/瑞穂区役所駅 歩10分,地下鉄桜通線/瑞穂運動場西駅 歩19分,築36年,3階建,3階,3万円,-,-,-,ワンルーム,19.8m2,https://suumo.jp/chintai/jnc_000065344415/?bc=100233899676,2024-02-19
1042,賃貸マンション,メゾンエイブル,愛知県名古屋市瑞穂区駒場町３,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩10分,地下鉄桜通線/御器所駅 歩18分,築37年,3階建,1階,3.2万円,2000円,-,-,1K,22m2,https://suumo.jp/chintai/jnc_000036827939/?bc=100328173308,2024-02-19
1043,賃貸マンション,スカイビュ－瑞穂,愛知県名古屋市瑞穂区川澄町４,地下鉄桜通線/桜山駅 歩4分,地下鉄桜通線/瑞穂区役所駅 歩10分,地下鉄桜通線/瑞穂運動場西駅 歩15分,築35年,4階建,4階,3.5万円,-,-,-,ワンルーム,22m2,https://suumo.jp/chintai/jnc_000037586075/?bc=100112567956,2024-02-19
1044,賃貸アパート,桜山朝日マンション,愛知県名古屋市瑞穂区洲雲町４,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩13分,地下鉄鶴舞線/御器所駅 歩17分,築40年,2階建,1階,3.9万円,-,3.9万円,3.9万円,1K,21.1m2,https://suumo.jp/chintai/jnc_000083282846/?bc=100333336204,2024-02-19
1045,賃貸アパート,桜山朝日マンション,愛知県名古屋市瑞穂区洲雲町４,地下鉄桜通線/桜山駅 歩3分,地下鉄桜通線/瑞穂区役所駅 歩13分,地下鉄鶴舞線/御器所駅 歩17分,築40年,2階建,2階,3.9万円,-,3.9万円,3.9万円,1K,21.1m2,https://suumo.jp/chintai/jnc_000067270248/?bc=100303721314,2024-02-19
1046,賃貸マンション,レオパレス高辻,愛知県名古屋市瑞穂区太田町２,地下鉄桜通線/桜山駅 歩18分,地下鉄鶴舞線/荒畑駅 歩22分,名鉄名古屋本線/神宮前駅 歩30分,築17年,3階建,1階,4.1万円,7500円,-,4.1万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000079494395/?bc=100303475613,2024-02-19
1047,賃貸マンション,レオパレス高辻,愛知県名古屋市瑞穂区太田町２,地下鉄桜通線/桜山駅 歩18分,地下鉄鶴舞線/荒畑駅 歩22分,名鉄名古屋本線/神宮前駅 歩30分,築17年,3階建,3階,4.4万円,7500円,-,4.4万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000088141150/?bc=100199414461,2024-02-19
1048,賃貸マンション,レオパレス高辻,愛知県名古屋市瑞穂区太田町２,地下鉄桜通線/桜山駅 歩18分,地下鉄鶴舞線/荒畑駅 歩22分,名鉄名古屋本線/神宮前駅 歩30分,築17年,3階建,3階,4.8万円,7500円,-,4.8万円,1K,19.87m2,https://suumo.jp/chintai/jnc_000088174957/?bc=100199414476,2024-02-19
1049,賃貸アパート,レオパレスハピネスウィング,愛知県名古屋市瑞穂区雁道町４,地下鉄桜通線/桜山駅 歩17分,,,築19年,2階建,1階,3.9万円,5500円,-,-,1K,19.87m2,https://suumo.jp/chintai/jnc_000086989208/?bc=100303368044,2024-02-19
1050,賃貸アパート,レオパレスハピネスウィング,愛知県名古屋市瑞穂区雁道町４,地下鉄桜通線/桜山駅 歩17分,,,築19年,2階建,2階,4万円,5500円,-,-,1K,19.87m2,https://suumo.jp/chintai/jnc_000086989209/?bc=100335389579,2024-02-19
