id,property_type,building_name,address,access_1,access_2,access_3,age,building_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,posting_date,actual_cost
262,賃貸マンション,地下鉄鶴舞線 荒畑駅 9階建 築18年,愛知県名古屋市昭和区円上町,地下鉄鶴舞線/荒畑駅 歩15分,地下鉄桜通線/桜山駅 歩19分,ＪＲ中央本線/鶴舞駅 歩23分,築18年,9階建,4階,55000.0,6000.0,55000.0,0.0,1K,29.9,https://suumo.jp/chintai/jnc_000084162701/?bc=100338866209,2024-02-25,62145.833333333336
263,賃貸マンション,地下鉄鶴舞線 荒畑駅 9階建 築18年,愛知県名古屋市昭和区円上町,地下鉄鶴舞線/荒畑駅 歩15分,地下鉄桜通線/桜山駅 歩19分,ＪＲ中央本線/鶴舞駅 歩23分,築18年,9階建,9階,59000.0,6000.0,59000.0,0.0,1K,29.9,https://suumo.jp/chintai/jnc_000030629528/?bc=100338868991,2024-02-25,66229.16666666667
264,賃貸マンション,地下鉄鶴舞線 荒畑駅 9階建 築18年,愛知県名古屋市昭和区円上町,地下鉄鶴舞線/荒畑駅 歩15分,地下鉄桜通線/桜山駅 歩19分,ＪＲ中央本線/鶴舞駅 歩23分,築18年,9階建,7階,62000.0,6000.0,62000.0,0.0,1K,29.9,https://suumo.jp/chintai/jnc_000084162702/?bc=100338865629,2024-02-25,69291.66666666667
265,賃貸マンション,エクセルフジタ,愛知県名古屋市昭和区出口町２,地下鉄鶴舞線/荒畑駅 歩8分,地下鉄鶴舞線/御器所駅 歩13分,地下鉄桜通線/桜山駅 歩15分,築32年,7階建,6階,40000.0,5000.0,0.0,0.0,1K,24.9,https://suumo.jp/chintai/jnc_000088727012/?bc=100367873872,2024-02-25,45000.0
266,賃貸マンション,エクセルフジタ,愛知県名古屋市昭和区出口町２,地下鉄鶴舞線/荒畑駅 歩8分,地下鉄鶴舞線/御器所駅 歩13分,地下鉄桜通線/桜山駅 歩15分,築32年,7階建,6階,40000.0,5000.0,0.0,0.0,1K,24.9,https://suumo.jp/chintai/jnc_000088727011/?bc=100367873874,2024-02-25,45000.0
267,賃貸マンション,エクセルフジタ,愛知県名古屋市昭和区出口町２,地下鉄鶴舞線/荒畑駅 歩8分,地下鉄鶴舞線/御器所駅 歩13分,地下鉄桜通線/桜山駅 歩15分,築32年,7階建,6階,40000.0,5000.0,0.0,0.0,1K,24.9,https://suumo.jp/chintai/jnc_000088727010/?bc=100367873875,2024-02-25,45000.0
268,賃貸マンション,エクセルフジタ,愛知県名古屋市昭和区出口町２,地下鉄鶴舞線/荒畑駅 歩8分,地下鉄鶴舞線/御器所駅 歩13分,地下鉄桜通線/桜山駅 歩15分,築32年,7階建,3階,40000.0,5000.0,0.0,0.0,1K,24.9,https://suumo.jp/chintai/jnc_000084751262/?bc=100342427207,2024-02-25,45000.0
269,賃貸アパート,ミュゼ桜山,愛知県名古屋市瑞穂区駒場町５,地下鉄桜通線/桜山駅 歩7分,地下鉄桜通線/瑞穂区役所駅 歩10分,地下鉄桜通線/瑞穂運動場西駅 歩19分,築8年,3階建,1階,57000.0,5000.0,0.0,0.0,1K,27.63,https://suumo.jp/chintai/jnc_000088235284/?bc=100198725688,2024-02-25,62000.0
270,賃貸マンション,マ・メゾン瑞穂,愛知県名古屋市瑞穂区東栄町３,地下鉄桜通線/瑞穂区役所駅 歩5分,地下鉄桜通線/桜山駅 歩7分,地下鉄桜通線/瑞穂運動場西駅 歩14分,築17年,4階建,4階,63000.0,4000.0,63000.0,0.0,1K,30.6,https://suumo.jp/chintai/jnc_000088312404/?bc=100366302956,2024-02-25,68312.5
271,賃貸マンション,マ・メゾン瑞穂,愛知県名古屋市瑞穂区東栄町３,地下鉄桜通線/瑞穂区役所駅 歩5分,地下鉄桜通線/桜山駅 歩7分,地下鉄桜通線/瑞穂運動場西駅 歩14分,築17年,4階建,3階,63000.0,4000.0,63000.0,0.0,1K,30.6,https://suumo.jp/chintai/jnc_000038405789/?bc=100345463297,2024-02-25,68312.5
272,賃貸マンション,Ｂｒａｎｃｈｅ桜山,愛知県名古屋市瑞穂区駒場町６,地下鉄桜通線/桜山駅 歩5分,地下鉄桜通線/御器所駅 歩18分,地下鉄桜通線/瑞穂区役所駅 歩7分,築9年,5階建,1階,60000.0,5000.0,0.0,0.0,ワンルーム,29.87,https://suumo.jp/chintai/jnc_000074877397/?bc=100346408445,2024-02-25,65000.0
